Ano,mes,station,dist_km,viento_util_kmh,tiempo_horas,SO2_mean,RAINF_mean,RAINF_std,WSR_mean,WSR_std,WDR_mean,WDR_std
2021,2,NO2,2.2472989035085678,-0.7918498358539107,0.7985000057157908,4.5925,0.0001,0.0004,-0.497,0.4759,36.8189,33.1124
2021,2,SE,-0.6629767945313897,-0.7893395562277269,0.09440907411820514,1.1033,0.0016,0.0105,0.2669,0.7415,176.2964,57.3413
2021,1,SO,0.9919692931725439,-0.7766072352479008,0.6607784920058788,0.4549,-0.0002,0.003,-0.0282,0.6977,40.6055,33.919
2021,1,SO2,0.6242767396988391,-0.7753043539222861,0.5665213305912873,-0.0407,0.0007,0.0041,-0.8243,0.3295,154.1364,66.5492
2021,11,NE3,-0.5783856921550802,-0.7706100113622759,0.2347853562515651,0.258,0.0375,0.2585,-0.672,0.597,208.9739,96.9489
2021,2,NO,0.5749922000494433,-0.7692963701959946,0.6327338096671299,2.3175,0.0001,0.001,-0.1367,0.6664,172.658,86.291
2021,2,NTE2,0.03693807917734043,-0.7688821388268574,0.45721566293859944,-0.2654,0.0007,0.0033,-0.2962,0.6676,98.7781,70.2093
2021,2,NTE,0.45970547207493195,-0.7413662322038382,1.3181700541543637,0.1381,0.0003,0.0001,-0.0879,0.2911,97.7238,13.6431
2021,2,NE,-0.2673918945266504,-0.7379367853274141,1.003749771688264,0.3333,0.0001,0.0003,-0.1267,0.339,200.2221,23.6888
2021,12,SE3,-1.5886657919031368,-0.7289641432971355,0.2672396669353596,-0.2752,0.0003,0.0045,-0.2235,0.4171,221.3162,106.728
2021,1,SUR,-0.5309476282241541,-0.7252636732166676,1.613798100203727,-0.0071,0.0001,0.0003,-0.5874,0.1333,230.1904,11.6854
2021,11,SE2,-1.6892496214918382,-0.7184709640071427,0.603907587713729,-0.4222,0.0,0.0,-0.4655,0.395,128.0795,63.1579
2021,11,NE2,-0.4148990833044134,-0.6986515079727958,1.7744623749497495,-0.0351,0.0404,0.4407,2.4086,3.6087,205.6506,100.025
2021,10,NE3,-0.5783856921550802,-0.6849915912925264,0.4460704561872477,-0.1711,0.4144,3.4485,-0.681,0.5009,162.636,88.9369
2021,2,NE2,-0.4148990833044134,-0.6817222609736608,0.419051662722754,2.088,0.0062,0.0568,-0.2703,0.265,178.5545,79.7692
2021,2,SE2,-1.6892496214918382,-0.656577920368602,-0.18894618058075938,1.2173,0.0332,0.0403,0.004,0.5763,182.997,72.7443
2021,11,NE,-0.2673918945266504,-0.6563371792445946,0.09917663026466404,-0.2587,0.0,0.0001,-0.3554,0.6036,164.5651,119.625
2021,11,NTE,0.45970547207493195,-0.6538442536921452,0.22200413857121915,-0.7164,0.0,0.0,-0.526,0.5627,176.8573,116.5195
2021,11,NTE2,0.03693807917734043,-0.6342368482063347,0.0262429851660461,-0.0615,0.0055,0.0781,-0.4237,0.7245,105.3897,107.7189
2021,11,NO,0.5749922000494433,-0.63394729236031,0.10095284238337285,0.3271,0.2255,1.953,-0.1797,0.5417,198.8238,106.2459
2021,11,SE,-0.6629767945313897,-0.6201560539318786,-0.10718167234797589,-0.4425,0.0106,0.0901,-0.4036,0.4787,174.427,85.7039
2021,11,NO2,2.2472989035085678,-0.6184609278464525,0.22868164058388715,-0.4907,0.0,0.0003,-0.3732,0.3685,153.0667,103.2041
2021,11,CE,0.06864998179780546,-0.6098972682447787,-0.04811073503708193,-0.2108,0.0,0.0002,-0.5271,0.4635,157.05,99.8043
2021,11,SO,0.9919692931725439,-0.6009933923597005,0.0220249105489667,-0.2857,3.3241,13.554,-0.4957,0.363,56.9485,76.4686
2021,11,SO2,0.6242767396988391,-0.6007824251440974,-0.014341539123599511,0.0099,0.0048,0.0554,-0.3346,0.4901,153.6619,59.4173
2021,2,NE3,-0.5783856921550802,-0.5941282500704731,-0.14034369555312506,-0.1149,0.0083,0.0364,-0.2372,0.6645,190.792,92.2141
2021,11,SUR,-0.5309476282241541,-0.5931408280961634,-0.13729065863514256,-0.1206,0.0,0.0001,-0.0456,0.391,209.6787,89.7441
2021,2,SE3,-1.5886657919031368,-0.5538713305580542,-0.2465746785016601,1.4984,0.0004,0.002,-0.5771,0.244,180.5134,100.4206
2021,10,SE2,-1.6892496214918382,-0.5307047759479058,-0.2575510482477567,0.1139,0.1677,1.848,-0.3607,0.3836,159.6018,60.7458
2021,10,NE2,-0.4148990833044134,-0.4798680949977959,-0.2056577356839558,0.0404,0.5379,5.2256,-0.1008,0.5599,157.6246,69.3657
2021,10,NE,-0.2673918945266504,-0.38540291373500213,-0.22426102468471248,0.496,0.0,0.0001,-0.1678,0.6207,125.9347,94.2922
2021,10,NTE,0.45970547207493195,-0.3804911574535394,-0.20210886740939638,-0.489,0.0,0.0,-0.3266,0.5579,157.3125,105.3872
2021,10,NTE2,0.03693807917734043,-0.34487459682624555,-0.22237432297002127,-0.2296,0.0126,0.1254,-0.3514,0.6169,108.9261,97.7993
2021,10,NO,0.5749922000494433,-0.34439244743111497,-0.20708426427966184,0.4556,0.0001,0.0009,-0.0456,0.5621,139.5878,110.2976
2021,10,SE,-0.6629767945313897,-0.32317225366212027,-0.2448208601470254,0.3171,0.0337,0.2116,-0.2563,0.4765,162.6013,83.0832
2021,10,NO2,2.2472989035085678,-0.32082360136051147,-0.16698164361965329,-0.0581,0.0722,1.2711,-0.2771,0.4254,143.4354,96.0635
2021,10,CE,0.06864998179780546,-0.30998786039880927,-0.22706790492769136,0.2554,0.0,0.0002,-0.3656,0.4698,139.168,100.3205
2021,10,SO,0.9919692931725439,-0.3008885938959764,-0.20481203527665526,0.1105,3.2182,13.3453,-0.391,0.324,120.1458,88.3214
2021,10,SO2,0.6242767396988391,-0.30070498171180576,-0.21422586559671844,-0.0622,0.0148,0.1123,1.8805,4.7916,147.1652,58.2413
2021,10,SUR,-0.5309476282241541,-0.2952846873547537,-0.24423524619416354,-0.408,0.0,0.0001,0.0457,0.3879,186.1696,71.3999
2021,3,SUR,-0.5309476282241541,-0.1224704597227226,-0.2563598640290799,-0.6426,0.0,0.0001,-0.5456,0.3059,225.6858,13.762
2021,4,SUR,-0.5309476282241541,-0.0744698041637779,-0.2585527525766725,-1.0573,0.0,0.0001,0.8574,0.7739,166.7628,68.0563
2021,3,SO2,0.6242767396988391,-0.06124535557761518,-0.24055493386439072,0.0952,0.0,0.0003,0.1128,0.4348,110.0691,48.522
2021,3,SO,0.9919692931725439,-0.05970905499884767,-0.23477246401160942,-0.3527,0.0,0.0,0.4501,0.8372,59.205,55.4623
2021,4,SO2,0.6242767396988391,-0.010517266630944324,-0.2438101698512128,-0.2265,0.0016,0.0105,0.1718,0.4634,95.165,38.6711
2021,4,SO,0.9919692931725439,-0.00891477900923926,-0.2384449452391853,-0.4441,0.5859,5.8335,0.0419,0.4776,147.4137,65.3115
2021,3,CE,0.06864998179780546,-0.0009887780707694858,-0.25252812656139006,1.0265,0.0,0.0002,-0.2283,0.6389,115.0554,88.0328
2021,3,NO2,2.2472989035085678,0.04604020433515454,-0.2245782022160939,1.9951,0.0,0.0002,-0.273,0.4356,65.9929,61.938
2021,4,CE,0.06864998179780546,0.05223687371320987,-0.25482261790928346,-0.1787,0.0,0.0003,0.216,0.5741,99.5712,79.7239
2021,3,SE,-0.6629767945313897,0.05442556243366876,-0.2648717202041958,-0.7014,0.0011,0.0115,0.6336,0.9887,139.5431,81.1514
2021,4,NO2,2.2472989035085678,0.10104534169502594,-0.2287078034908743,-0.3279,0.0,0.0002,0.2505,0.5887,121.275,70.3291
2021,3,NE3,-0.5783856921550802,0.1034911517634093,-0.2650242667273433,-0.1727,0.0023,0.0258,0.0046,0.846,162.9817,88.4934
2021,4,SE,-0.6629767945313897,0.10972828290163748,-0.2662526692227686,-0.4815,0.0069,0.032,-0.0989,0.4269,101.1188,64.2395
2021,3,NO,0.5749922000494433,0.11307357350625588,-0.2506792080117792,-0.1598,0.0001,0.0011,0.2024,0.9076,147.3774,84.1171
2021,3,NTE2,0.03693807917734043,0.11413893696078779,-0.2575176010204934,-0.7467,0.0001,0.0005,-0.0825,0.7235,95.9276,63.8676
2021,4,NE3,-0.5783856921550802,0.14407387503186644,-0.2659895025203225,0.0954,0.092,0.9698,0.0788,0.7541,140.225,72.0012
2021,4,NO,0.5749922000494433,0.17023092446161286,-0.25293234321684605,0.0909,0.0001,0.0014,0.5648,0.9026,133.3348,74.6597
2021,4,NTE2,0.03693807917734043,0.17132540567573734,-0.2593240660651653,-1.3759,0.0013,0.0119,0.2801,0.7466,84.1874,61.3409
