Row Labels,Sum of SO2,,,,,,,,Municipio,San Nicolás de los Garza,
Ciénega de Flores,1.59,,,Santa Catarina,0.06%,0.06%,9.3,,Fuentes naturales,,0.00%
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.02,,,Santiago,0.05%,0.05%,8.31,,Emisiones biogénicas,,0.00%
Agropecuarias,0,,,Grand Total,100.00%,100.00%,16602.49,,Grand Total,6690.34,100.00%
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,0.41,,,,,,,,,,
Carreteras,0.85,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,,,,,,,,,,,
Industria textil,0,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,0,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0.02,,,,,,,,,,
Minerales no metálicos,0.02,,,,,,,,,,
No carreteras,0.08,,,,,,,,,,
Pinturas y tintas ,,,,,,,,,,,
Plástico y hule,0,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.04,,,,,,,,,,
Química ,0.11,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Vidrio,0.04,,,,,,,,,,
El Carmen,0.96,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",,,,,,,,,,,
Agropecuarias,,,,,,,,,,,
Alimentos y bebidas,0.07,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,,,,,,,,,,,
Cemento y cal ,0.44,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,,,,,,,,,,,
Industria textil,0.03,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0,,,,,,,,,,
No carreteras,0.36,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.03,,,,,,,,,,
Química ,0.03,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
García,83.54,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.01,,,,,,,,,,
Agropecuarias,0.05,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,2.55,,,,,,,,,,
Carreteras,2.06,,,,,,,,,,
Cemento y cal ,0.41,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Extracción/Beneficio minerales no metálicos,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,1.15,,,,,,,,,,
Generación de energía eléctrica ,5.11,,,,,,,,,,
Manejo de desechos y remediación,0,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,34.12,,,,,,,,,,
Mezclas químicas,0,,,,,,,,,,
Minerales no metálicos,35.73,,,,,,,,,,
No carreteras,1.42,,,,,,,,,,
Pinturas y tintas ,,,,,,,,,,,
Plástico y hule,,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.26,,,,,,,,,,
Química ,0.18,,,,,,,,,,
Tratamiento de residuos peligrosos ,,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Vidrio,0.49,,,,,,,,,,
General Escobedo,138.11,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",,,,,,,,,,,
Agropecuarias,0.11,,,,,,,,,,
Alimentos y bebidas,1.18,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,15.08,,,,,,,,,,
Carreteras,7.64,,,,,,,,,,
Derivados del petróleo y carbón,90.54,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Extracción/Beneficio minerales no metálicos,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.22,,,,,,,,,,
Manejo de desechos y remediación,0,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,0.03,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,22.26,,,,,,,,,,
Mezclas químicas,,,,,,,,,,,
Minerales no metálicos,,,,,,,,,,,
No carreteras,0.57,,,,,,,,,,
Petróleo y petroquímica,,,,,,,,,,,
Plástico y hule,0,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.46,,,,,,,,,,
Química ,0.02,,,,,,,,,,
Tratamiento de residuos peligrosos ,0,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
General Zuazua,0.74,,,,,,,,,,
Agropecuarias,,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,0.53,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
No carreteras,0.13,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.08,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Guadalupe,36.76,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.03,,,,,,,,,,
Agropecuarias,0.02,,,,,,,,,,
Alimentos y bebidas,14.34,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,20.76,,,,,,,,,,
Celulosa y papel ,0.02,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.19,,,,,,,,,,
Industria textil,0,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,0.01,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0.01,,,,,,,,,,
Mezclas químicas,,,,,,,,,,,
Minerales no metálicos,,,,,,,,,,,
No carreteras,0.44,,,,,,,,,,
Papel y cartón,0.02,,,,,,,,,,
Pinturas y tintas ,0.07,,,,,,,,,,
Plástico y hule,0.01,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.84,,,,,,,,,,
Química ,0,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Hidalgo,0.61,,,,,,,,,,
Agropecuarias,0.03,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,0.35,,,,,,,,,,
Cemento y cal ,,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
No carreteras,0.2,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.03,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Juárez,4.61,,,,,,,,,,
Agropecuarias,0.03,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,3.16,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,,,,,,,,,,,
Minerales no metálicos,0.69,,,,,,,,,,
No carreteras,0.37,,,,,,,,,,
Pinturas y tintas ,,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.36,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Monterrey,787.32,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.01,,,,,,,,,,
Agropecuarias,,,,,,,,,,,
Alimentos y bebidas,0.15,,,,,,,,,,
Almacenamiento de combustibles,,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,48.61,,,,,,,,,,
Celulosa y papel ,0.06,,,,,,,,,,
Cemento y cal ,728.26,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0,,,,,,,,,,
Generación de energía eléctrica ,3.57,,,,,,,,,,
Industria textil,0,,,,,,,,,,
Manejo de desechos y remediación,,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,0.02,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,1.73,,,,,,,,,,
Minerales no metálicos,0.12,,,,,,,,,,
No carreteras,0.91,,,,,,,,,,
Papel y cartón,0,,,,,,,,,,
Pinturas y tintas ,,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,1.61,,,,,,,,,,
Química ,0.18,,,,,,,,,,
Tratamiento de residuos peligrosos ,,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Vidrio,2.09,,,,,,,,,,
Pesquería,33.66,,,,,,,,,,
Agropecuarias,1.64,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,,,,,,,,,,,
Carreteras,0.54,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.43,,,,,,,,,,
Generación de energía eléctrica ,29.43,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0.22,,,,,,,,,,
Minerales no metálicos,0.04,,,,,,,,,,
No carreteras,1.27,,,,,,,,,,
Pinturas y tintas ,0.01,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.07,,,,,,,,,,
Química ,0.01,,,,,,,,,,
Tratamiento de residuos peligrosos ,,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Salinas Victoria,3.02,,,,,,,,,,
Agropecuarias,0.18,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,0.65,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0,,,,,,,,,,
Generación de energía eléctrica ,0.45,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0,,,,,,,,,,
Minerales no metálicos,,,,,,,,,,,
No carreteras,1.57,,,,,,,,,,
Plástico y hule,0,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.17,,,,,,,,,,
Química ,,,,,,,,,,,
Tratamiento de residuos peligrosos ,,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
San Nicolás de los Garza,6690.34,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.03,,,,,,,,,,
Agropecuarias,,,,,,,,,,,
Alimentos y bebidas,0.1,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,0,,,,,,,,,,
Carreteras,18.18,,,,,,,,,,
Celulosa y papel ,1.05,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.22,,,,,,,,,,
Generación de energía eléctrica ,0.34,,,,,,,,,,
Impresión,,,,,,,,,,,
Manejo de Residuos,,,,,,,,,,,
Metálico,0.03,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,2.15,,,,,,,,,,
No carreteras,,,,,,,,,,,
Pinturas y tintas ,0.07,,,,,,,,,,
Plástico y hule,0,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.57,,,,,,,,,,
Química ,6667.6,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Vidrio,0,,,,,,,,,,
San Pedro Garza García,53.23,,,,,,,,,,
Agropecuarias,,,,,,,,,,,
Alimentos y bebidas,0.01,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,7.87,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.22,,,,,,,,,,
Generación de energía eléctrica ,0.1,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0.02,,,,,,,,,,
Minerales no metálicos,44.06,,,,,,,,,,
No carreteras,0.7,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.17,,,,,,,,,,
Química ,0.08,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Santa Catarina,9.3,,,,,,,,,,
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.04,,,,,,,,,,
Agropecuarias,0.01,,,,,,,,,,
Alimentos y bebidas,0.06,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Automotriz ,0.03,,,,,,,,,,
Carreteras,7.65,,,,,,,,,,
Celulosa y papel ,0.03,,,,,,,,,,
Derivados del petróleo y carbón,0.21,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Extracción/Beneficio minerales no metálicos,0.14,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,0.12,,,,,,,,,,
Impresión,,,,,,,,,,,
Industria textil,0,,,,,,,,,,
Manejo de desechos y remediación,,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
Metálico,0.01,,,,,,,,,,
Metalúrgica (incluye la siderúrgica) ,0.17,,,,,,,,,,
Minerales no metálicos,0,,,,,,,,,,
No carreteras,0.37,,,,,,,,,,
Papel y cartón,0.01,,,,,,,,,,
Petróleo y petroquímica,,,,,,,,,,,
Pinturas y tintas ,0.03,,,,,,,,,,
Plástico y hule,0.03,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.33,,,,,,,,,,
Química ,0.06,,,,,,,,,,
Tratamiento de residuos peligrosos ,,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Santiago,8.31,,,,,,,,,,
Agropecuarias,0,,,,,,,,,,
Almacenamiento y transporte de derivados de petróleo,,,,,,,,,,,
Carreteras,2.01,,,,,,,,,,
Emisiones biogénicas,,,,,,,,,,,
Fuentes industriales ligeras y comerciales,,,,,,,,,,,
Fuentes misceláneas,6.14,,,,,,,,,,
Manejo de Residuos,0,,,,,,,,,,
No carreteras,0.03,,,,,,,,,,
Quema de combustibles en fuentes estacionarias,0.13,,,,,,,,,,
Uso de Solventes,,,,,,,,,,,
Grand Total,16602.49,,,,,,,,,,
