Municipio,Categoría,SO2
General Zuazua,Fuentes industriales ligeras y comerciales,0.0
General Zuazua,Fuentes misceláneas,0.0
General Zuazua,Manejo de Residuos,0.0
General Zuazua,No carreteras,0.13
General Zuazua,Quema de combustibles en fuentes estacionarias,0.08
General Zuazua,Uso de Solventes,0.0
Guadalupe,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.03
Guadalupe,Agropecuarias,0.02
Guadalupe,Alimentos y bebidas,14.34
Guadalupe,Almacenamiento y transporte de derivados de petróleo,0.0
Guadalupe,Carreteras,20.76
Guadalupe,Celulosa y papel ,0.02
Guadalupe,Emisiones biogénicas,0.0
Guadalupe,Fuentes industriales ligeras y comerciales,0.0
Guadalupe,Fuentes misceláneas,0.19
Guadalupe,Industria textil,0.0
Guadalupe,Manejo de Residuos,0.0
Guadalupe,Metalúrgica (incluye la siderúrgica) ,0.01
Guadalupe,Metálico,0.01
Guadalupe,Mezclas químicas,0.0
Guadalupe,Minerales no metálicos,0.0
Guadalupe,No carreteras,0.44
Guadalupe,Papel y cartón,0.02
Guadalupe,Pinturas y tintas ,0.07
Guadalupe,Plástico y hule,0.01
Guadalupe,Quema de combustibles en fuentes estacionarias,0.84
Guadalupe,Química ,0.0
Guadalupe,Uso de Solventes,0.0
Hidalgo,Agropecuarias,0.03
Hidalgo,Almacenamiento y transporte de derivados de petróleo,0.0
Hidalgo,Carreteras,0.35
Hidalgo,Cemento y cal ,0.0
Hidalgo,Emisiones biogénicas,0.0
Hidalgo,Fuentes industriales ligeras y comerciales,0.0
Hidalgo,Fuentes misceláneas,0.0
Hidalgo,Manejo de Residuos,0.0
Hidalgo,No carreteras,0.2
Hidalgo,Quema de combustibles en fuentes estacionarias,0.030000000000000002
Hidalgo,Uso de Solventes,0.0
Juárez,Agropecuarias,0.03
Juárez,Almacenamiento y transporte de derivados de petróleo,0.0
Juárez,Carreteras,3.16
Juárez,Emisiones biogénicas,0.0
Juárez,Fuentes industriales ligeras y comerciales,0.0
Juárez,Fuentes misceláneas,0.0
Juárez,Manejo de Residuos,0.0
Juárez,Metálico,0.0
Juárez,Minerales no metálicos,0.69
Juárez,No carreteras,0.37
Juárez,Pinturas y tintas ,0.0
Juárez,Quema de combustibles en fuentes estacionarias,0.36
Juárez,Uso de Solventes,0.0
Monterrey,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.01
Monterrey,Agropecuarias,0.0
Monterrey,Alimentos y bebidas,0.15
Monterrey,Almacenamiento de combustibles,0.0
Monterrey,Almacenamiento y transporte de derivados de petróleo,0.0
Monterrey,Carreteras,48.61
Monterrey,Celulosa y papel ,0.06
Monterrey,Cemento y cal ,728.26
Monterrey,Emisiones biogénicas,0.0
Monterrey,Fuentes industriales ligeras y comerciales,0.0
Monterrey,Fuentes misceláneas,0.0
Monterrey,Generación de energía eléctrica ,3.57
Monterrey,Industria textil,0.0
Monterrey,Manejo de Residuos,0.0
Monterrey,Manejo de desechos y remediación,0.0
Monterrey,Metalúrgica (incluye la siderúrgica) ,1.73
Monterrey,Metálico,0.02
Monterrey,Minerales no metálicos,0.12
Monterrey,No carreteras,0.91
Monterrey,Papel y cartón,0.0
Monterrey,Pinturas y tintas ,0.0
Monterrey,Quema de combustibles en fuentes estacionarias,1.6099999999999999
Monterrey,Química ,0.18
Monterrey,Tratamiento de residuos peligrosos ,0.0
Monterrey,Uso de Solventes,0.0
Monterrey,Vidrio,2.09
